,id,gun_id,sticker1_id,sticker2_id,sticker3_id,sticker4_id,price
32,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Evil Geniuses | РМР 2020, Boombl4 (голографическая) | Стокгольм 202132",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Evil Geniuses | РМР 2020,Наклейка | Boombl4 (голографическая) | Стокгольм 2021,,,1.41
33,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Boombl4 | Берлин 2019, flamie | Берлин 2019, Zeus | Берлин 2019, Freeman | Берлин 201933",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Boombl4 | Берлин 2019,Наклейка | flamie | Берлин 2019,Наклейка | Zeus | Берлин 2019,Наклейка | Freeman | Берлин 2019,1.41
34,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Высший разум, TYLOO | РМР 2020, Virtus.pro | РМР 202034",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Высший разум,Наклейка | TYLOO | РМР 2020,Наклейка | Virtus.pro | РМР 2020,,1.43
35,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: NEO | Берлин 2019, allu | Берлин 2019, StarLadder | Берлин 201935",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | NEO | Берлин 2019,Наклейка | allu | Берлин 2019,Наклейка | StarLadder | Берлин 2019,,1.43
36,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: NEO | Берлин 2019, allu | Берлин 2019, StarLadder | Берлин 201936",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | NEO | Берлин 2019,Наклейка | allu | Берлин 2019,Наклейка | StarLadder | Берлин 2019,,1.43
37,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: G2 Esports | Антверпен 2022, Spirit | РМР 202037",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | G2 Esports | Антверпен 2022,Наклейка | Spirit | РМР 2020,,,1.43
38,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Мариетта38,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Мариетта,,,,1.43
39,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: FURIA | Антверпен 2022, Spirit | РМР 2020, Spirit | РМР 202039",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | FURIA | Антверпен 2022,Наклейка | Spirit | РМР 2020,Наклейка | Spirit | РМР 2020,,1.43
40,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Natus Vincere | РМР 2020, Natus Vincere | РМР 2020, Natus Vincere | Антверпен 202240",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Natus Vincere | РМР 2020,Наклейка | Natus Vincere | РМР 2020,Наклейка | Natus Vincere | Антверпен 2022,,1.41
41,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Ninjas in Pyjamas | Стокгольм 2021, Ninjas in Pyjamas | Стокгольм 2021, Ninjas in Pyjamas | Стокгольм 2021, Ninjas in Pyjamas | Стокгольм 202141",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Ninjas in Pyjamas | Стокгольм 2021,Наклейка | Ninjas in Pyjamas | Стокгольм 2021,Наклейка | Ninjas in Pyjamas | Стокгольм 2021,Наклейка | Ninjas in Pyjamas | Стокгольм 2021,1.41
