,id,gun_id,sticker1_id,sticker2_id,sticker3_id,sticker4_id,price
91,"AWP | Боец (Немного поношенное)Наклейка: ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 201991",AWP | Боец (Немного поношенное),Наклейка | ENCE (голографическая) | Берлин 2019,Наклейка | ENCE (голографическая) | Берлин 2019,Наклейка | ENCE (голографическая) | Берлин 2019,Наклейка | ENCE (голографическая) | Берлин 2019,69.63
92,AWP | Боец (Немного поношенное)Наклейка: kennyS | Кёльн 201592,AWP | Боец (Немного поношенное),Наклейка | kennyS | Кёльн 2015,,,,59.62
93,AWP | Боец (Немного поношенное)Наклейка: Skadoodle | Кёльн 201593,AWP | Боец (Немного поношенное),Наклейка | Skadoodle | Кёльн 2015,,,,60.00
94,"AWP | Боец (Немного поношенное)Наклейка: Спецназ в банане, G2 Esports (голографическая) | Лондон 2018, NBK- | Атланта 201794",AWP | Боец (Немного поношенное),Наклейка | Спецназ в банане,Наклейка | G2 Esports (голографическая) | Лондон 2018,Наклейка | NBK- | Атланта 2017,,63.86
95,AWP | Боец (Немного поношенное)Наклейка: Aleksib | Берлин 201995,AWP | Боец (Немного поношенное),Наклейка | Aleksib | Берлин 2019,,,,67.12
96,"AWP | Боец (Немного поношенное)Наклейка: Team Dignitas (металлическая) | Кёльн 2016, Natus Vincere | Бостон 2018, Team EnVyUs | MLG Columbus 201696",AWP | Боец (Немного поношенное),Наклейка | Team Dignitas (металлическая) | Кёльн 2016,Наклейка | Natus Vincere | Бостон 2018,Наклейка | Team EnVyUs | MLG Columbus 2016,,61.77
97,"AWP | Боец (Немного поношенное)Наклейка: Страна AWP, Natus Vincere | Бостон 2018, s1mple | Бостон 201897",AWP | Боец (Немного поношенное),Наклейка | Страна AWP,Наклейка | Natus Vincere | Бостон 2018,Наклейка | s1mple | Бостон 2018,,65.00
98,"AWP | Боец (Немного поношенное)Наклейка: Natus Vincere | Кёльн 2015, GuardiaN | Кёльн 201598",AWP | Боец (Немного поношенное),Наклейка | Natus Vincere | Кёльн 2015,Наклейка | GuardiaN | Кёльн 2015,,,65.00
99,"AWP | Боец (Немного поношенное)Наклейка: GODSENT | Стокгольм 2021, GODSENT | Стокгольм 2021, Team Liquid (голографическая) | Стокгольм 2021, GODSENT | Стокгольм 202199",AWP | Боец (Немного поношенное),Наклейка | GODSENT | Стокгольм 2021,Наклейка | GODSENT | Стокгольм 2021,Наклейка | Team Liquid (голографическая) | Стокгольм 2021,Наклейка | GODSENT | Стокгольм 2021,67.92
100,"AWP | Боец (Немного поношенное)Наклейка: s1mple | Бостон 2018, Skadoodle (металлическая) | Бостон 2018, Titan | Кёльн 2015, Titan | Кёльн 2015100",AWP | Боец (Немного поношенное),Наклейка | s1mple | Бостон 2018,Наклейка | Skadoodle (металлическая) | Бостон 2018,Наклейка | Titan | Кёльн 2015,Наклейка | Titan | Кёльн 2015,66.15
