sticker_id,price
Наклейка | Golden (золотая) | Лондон 2018,59.95

Наклейка | snatchie (золотая) | Лондон 2018,59.94

Наклейка | nex (металлическая) | Краков 2017,59.82

Наклейка | s1mple (Gold) | Antwerp 2022,59.30

Наклейка | MSL (металлическая) | Краков 2017,59.03

Наклейка | dennis (золотая) | Лондон 2018,58.92

Наклейка | Titan | Катовице 2015,58.94

Наклейка | jR (золотая) | Катовице 2019,58.90

Наклейка | KSCERATO (золотая) | Рио 2022,58.25

Наклейка | advent (золотая) | Катовице 2019,58.94

Наклейка | Ninjas in Pyjamas (голографическая) | DreamHack 2014,58.43

Наклейка | Magisk (золотая) | Катовице 2019,58.26

